Goal,Number of Players,Number of Rounds,End Result
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,11,Player 1 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,1,Player 1 wins
[ ][ ][ ],2,1,Player 1 wins
[ ][ ][ ],2,13,Player 1 wins
[ ][ ][ ],2,13,Player 1 wins
[ ][ ][ ],2,16,Player 1 wins
[ ][ ][ ],2,50,Player 1 wins
[ ][ ][ ],2,6,Player 0 wins
[ ][ ][ ],2,6,Player 0 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,8,Player 0 wins
[ ][ ][ ],2,8,Player 0 wins
[ ][ ][ ],2,8,Player 0 wins
[ ][ ][ ],2,41,Player 0 wins
[ ][ ][ ],2,24,Player 0 wins
[ ][ ][ ],2,24,Player 0 wins
[ ][ ][ ],2,96,Player 0 wins
[ ][ ][ ],2,2,Player 1 wins
[ ][ ][ ],2,2,Player 1 wins
[ ][ ][ ],2,8,Player 1 wins
[ ][ ][ ],2,8,Player 1 wins
[ ][ ][ ],2,16,Player 1 wins
[ ][ ][ ],2,16,Player 1 wins
[ ][ ][ ],2,1,Player 1 wins
[ ][ ][ ],2,17,Player 0 wins
[ ][ ][ ],2,17,Player 0 wins
[ ][ ][ ],2,27,Player 0 wins
[ ][ ][ ],2,1,Player 1 wins
[ ][ ][ ],2,1,Player 1 wins
[ ][ ][ ],2,24,Player 0 wins
[ ][ ][ ],2,25,Player 1 wins
[ ][ ][ ],2,14,Player 1 wins
[ ][ ][ ],2,14,Player 1 wins
[ ][ ][ ],2,2,Player 1 wins
[ ][ ][ ],2,2,Player 1 wins
[ ][ ][ ],2,2,Player 1 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,5,Player 0 wins
[ ][ ][ ],2,5,Player 0 wins
[ ][ ][ ],2,5,Player 0 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,5,Player 1 wins
[ ][ ][ ],2,6,Player 1 wins
[ ][ ][ ],2,6,Player 1 wins
[ ][ ][ ],2,6,Player 1 wins
[ ][ ][ ],2,25,Player 0 wins
[ ][ ][ ],2,25,Player 0 wins
[ ][ ][ ],2,4,Player 0 wins
[ ][ ][ ],2,4,Player 0 wins
[ ][ ][ ],2,4,Player 0 wins
[ ][ ][ ],2,3,Player 1 wins
[ ][ ][ ],2,10,Player 0 wins
[ ][ ][ ],2,10,Player 0 wins
[ ][ ][ ],2,10,Player 0 wins
[ ][ ][ ],2,56,Player 1 wins
[ ][ ][ ],2,13,Player 1 wins
[ ][ ][ ],2,13,Player 1 wins
[ ][ ][ ],2,67,Player 1 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,2,Player 0 wins
[ ][ ][ ],2,1,Player 1 wins
[ ][ ][ ],2,1,Player 1 wins
[ ][ ][ ],2,1,Player 1 wins
[ ][ ][ ],2,1,Player 1 wins
[ ][ ][ ],2,1,Player 1 wins
[ ][ ][ ],2,1,Player 1 wins
[ ][ ][ ],2,1,Player 1 wins
[ ][ ][ ],2,1,Player 1 wins
